1.85	1.1	0.03
1.66	1.19	0.076
1.62	1.3	0.171
1.5	1.37	0.308
1.3	1.53	0.597
1	1.72	0.803
0.7	1.98	0.889
0.45	2.52	0.9
0.33	3.06	0.879
0.31	3.52	0.898
0.28	3.91	0.883
0.28	4.24	0.883
0.26	4.27	0.859
0.21	5.3	0.859
0.19	6.36	0.859
0.16	8.48	0.859
0.15	10.6	0.859
0.14	11.66	0.859
0.1	15.9	0.859
