Software version: 0.10.0 ; Calibration file: 9182501_20251128_CAL.txt
Scan start time,Bin 1.18-1.5 nm,Bin 1.5-1.7 nm,Bin 1.7-2.5 nm,Bin 2.5-5.0 nm,Bin 5.0-8.0 nm,Bin 8.0-13.07 nm,Dp >13.07 nm total number concentration
2026-01-06 00:00:02,,,,483.86,,126.07,593.22
2026-01-06 00:01:33,4651.06,1702.58,861.88,585.88,25.59,,646.58
2026-01-06 00:03:33,3688.98,,844.19,349.28,,371.57,602.54
2026-01-06 00:05:33,812.88,2869.32,,441.46,338.53,,593.23
2026-01-06 00:07:33,,2456.99,108.99,295.34,85.74,,647.06
2026-01-06 00:09:33,1646.04,2011.8,325.48,337.93,,,609.52
2026-01-06 00:11:33,,1150.04,323.8,414.23,124.69,8.03,680.55
2026-01-06 00:13:33,5313.94,385.05,1290.85,213.76,128.63,,585.07
2026-01-06 00:15:33,12809.81,,207.85,388.49,39.67,,683.37
2026-01-06 00:17:33,6658.97,,136.14,773.4,,98.02,638.84
2026-01-06 00:19:33,3839.01,1155.66,,278.88,353.84,,710.19
2026-01-06 00:21:33,14203.7,1664.67,281.13,344.3,31.31,,551.51
2026-01-06 00:23:33,,2967.29,623.14,400.76,,,589.74
2026-01-06 00:25:33,6624.91,529.62,195.07,348.75,201.82,202.38,743.63
2026-01-06 00:27:33,,2009.1,,332.63,,,650.27
2026-01-06 00:29:33,9985.01,,599.79,394.72,182.27,,604.87
2026-01-06 00:31:33,,824.76,719.55,391.78,138.3,,602.59
2026-01-06 00:33:33,13959.61,3310.73,423.08,355.65,,358.48,592.06
2026-01-06 00:35:33,4161.33,420.43,489.31,520.78,,579.09,529.24
2026-01-06 00:37:33,8813.66,2430.5,,614.87,,,525.7
2026-01-06 00:39:33,,1393.29,,417.08,75.82,,573.46
2026-01-06 00:41:33,5424.74,2009.03,109.46,540.38,61.08,,585.07
2026-01-06 00:43:33,1168.74,2153.39,,488.68,57.78,,687.55
2026-01-06 00:45:33,17217.17,,400.1,395.14,232.03,,637.46
2026-01-06 00:47:33,,1713.28,58.31,346.83,,58.12,614.21
2026-01-06 00:49:33,511.87,2828.24,,490.68,,369.8,641.16
2026-01-06 00:51:33,1127.4,594.37,380.9,110.68,189.6,,650.49
2026-01-06 00:53:33,9016.72,1695.3,183.09,393.88,,273.51,651.43
2026-01-06 00:55:33,6261.43,,169.61,574.64,,18.25,616.53
2026-01-06 00:57:33,7195.9,,1053.12,85.15,303.08,,554.81
2026-01-06 00:59:33,5034.85,,205.59,472.26,,,736.48
2026-01-06 01:01:33,,850.39,733.61,168.08,,704.66,811.2
2026-01-06 01:03:33,,,320.12,286.22,,305.07,642.16
2026-01-06 01:05:33,5145.39,1677.96,35.11,242.25,170.84,,609.51
2026-01-06 01:07:33,3271.37,,517.39,91.43,,573.54,572.3
2026-01-06 01:09:33,6028.13,1457.93,425.3,185.61,,115.33,687.52
2026-01-06 01:11:33,,,459.83,226.33,,725.34,590.92
2026-01-06 01:13:33,6255.88,87.73,585.39,68.33,1.2,134.24,680.55
2026-01-06 01:15:33,3060.56,,118.1,279.62,,497.27,654.97
2026-01-06 01:17:33,2387.86,614.95,210.01,210.49,0.45,293.49,643.3
2026-01-06 01:19:33,3619.72,153.16,29.8,332.82,93.0,,627.01
2026-01-06 01:21:33,25406.78,,549.52,491.72,100.99,,550.36
2026-01-06 01:23:33,,1947.15,,122.96,,206.31,584.36
2026-01-06 01:25:33,13347.95,526.89,218.36,92.8,148.66,,651.42
2026-01-06 01:27:33,2060.91,,395.36,,378.41,,601.41
2026-01-06 01:29:33,10595.01,696.0,114.9,330.85,140.96,,619.03
2026-01-06 01:31:33,,1177.8,215.4,353.95,,83.61,600.45
2026-01-06 01:33:33,7400.06,2686.9,,403.05,,,559.46
2026-01-06 01:35:33,,1078.31,200.98,287.88,,208.25,573.46
2026-01-06 01:37:33,6731.76,672.18,640.32,283.99,,158.46,560.66
2026-01-06 01:39:33,570.8,3414.02,174.96,292.3,,329.64,587.41
2026-01-06 01:41:33,7666.55,482.25,544.68,128.03,221.41,165.02,625.8
2026-01-06 01:43:33,9032.23,2174.78,163.07,48.97,74.38,,589.76
2026-01-06 01:45:33,11127.26,1603.56,,206.93,370.99,,611.85
2026-01-06 01:47:33,4438.49,2483.37,423.17,118.99,,215.75,600.25
2026-01-06 01:49:33,7924.59,1299.07,577.93,17.57,211.05,,599.28
2026-01-06 01:51:33,4623.56,1961.76,120.58,,148.21,,626.12
2026-01-06 01:53:33,3444.0,913.49,444.03,205.57,,555.45,537.37
2026-01-06 01:55:33,3866.48,635.38,12.16,120.11,91.87,355.66,480.5
2026-01-06 01:57:33,6930.23,1929.02,180.07,89.84,134.06,,693.67
2026-01-06 01:59:33,652.43,270.62,418.46,78.53,,296.31,481.53
